a,b
14897,12614
17854,17838
21071,13593
19149,17456
10001,3829
2235,753
10406,9592
28315,7806
13863,11793
19364,12821
15468,14090
16500,8399
6463,1542
9871,5101
9794,7635
10665,9473
13788,11102
18963,3474
59,3160
12988,4298
15012,11439
23195,4847
7277,3259
16055,12116
19333,5657
485,602
8905,6360
275,244
18112,12001
27233,8442
5659,4146
4657,1505
242,464
6151,5310
22613,4676
4263,11676
26554,11783
3559,2402
6937,5501
13076,7063
5315,4300
13370,1915
15690,12260
1533,1171
6512,805
17676,8878
11374,6585
21039,11512
17917,6049
10342,10745
22829,22759
1029,1850
11494,10776
21326,21461
28104,10397
6015,14304
5938,705
25771,16007
4946,7971
7752,4972
29702,6556
2789,2572
2948,11759
9661,5642
796,790
10849,20880
6017,5007
28884,13547
671,3254
4173,2034
10558,2757
11883,878
20759,9915
14785,14080
2328,150
20943,10544
4947,3531
763,602
2028,12781
20060,19306
26708,11733
11738,2582
6964,226
6707,5499
2340,4333
17025,4818
11285,1951
26355,598
18862,19107
9529,341
711,14728
16371,331
21295,17946
3786,9470
29726,29402
17527,5695
619,8
3173,9676
650,4140
26300,4852
2829,701
16367,11858
727,614
5739,51
9388,8118
3786,11016
4773,1035
9521,1479
12241,2496
8577,6811
263,88
18124,8403
895,1873
12100,6541
16238,9542
18372,14093
14344,22280
6569,5745
348,320
3263,1849
5202,7199
13071,11017
1098,7005
25114,17939
25434,5203
18287,3899
4420,3187
18903,7467
24128,307
96,280
3077,13234
25721,11685
10939,18506
5661,3266
25732,8309
5156,3614
14222,14045
22415,10671
5253,676
20523,19166
17801,13071
23452,944
4002,544
722,486
9399,2202
12000,6633
13926,9228
11009,9310
8457,5324
26029,2784
17998,13002
13969,12969
28005,601
3572,7975
9684,1875
2332,1056
3185,16026
28958,741
4811,242
4901,380
29553,9072
12682,7452
28737,14241
1328,10981
13367,363
9880,6032
14880,22072
1080,889
17390,7009
160,80
10353,9347
13642,5601
2039,891
21987,8062
25047,4533
13333,8106
220,14273
27225,14388
855,763
28774,18256
6792,5871
14787,17925
8381,498
3116,2144
2677,926
4364,4082
13415,6782
15602,19241
9392,6905
26877,9838
12844,11767
14626,4689
22750,12091
11264,3584
22538,16075
40,34
27265,12854
3327,1385
6113,1786
27320,20626
9621,13693
8081,4052
22243,4137
4268,273
10621,7619
1453,585
3477,13671
29691,5686
1042,800
2410,2705
24465,6439
16158,5620
1175,3048
5141,1949
13876,11229
22834,5552
23024,26048
2080,1541
3581,8433
19655,782
2223,8429
15742,3279
23994,10549
29386,16485
4169,2530
15919,11456
13372,1858
6002,9980
19090,1065
16630,20000
17124,2972
15318,10359
11601,5897
11890,9260
25311,3847
27525,4785
4883,1956
13451,7034
17609,13515
163,2109
21939,10487
23741,23503
12709,16414
17865,9934
27056,20490
493,323
2118,8161
8468,1982
114,11
19745,734
14150,4750
190,204
1138,2070
11577,139
6128,12816
27673,23379
1048,20728
18562,2969
15519,16404
1499,959
2034,264
1727,767
4418,2737
19908,10411
590,412
8787,979
800,8467
18669,8751
17567,20433
7610,9887
24747,20064
23609,10107
24666,13226
26454,17419
23581,18362
8788,6158
4686,3869
7067,669
21580,12963
28299,14507
8842,10673
19584,10255
27922,6178
776,86
20549,4697
5225,702
16600,7745
26737,12846
16944,8455
7936,3068
4651,1264
2171,1079
6068,10526
2132,1278
3571,11788
1685,651
8663,14913
28706,20943
6482,23198
8869,5193
1651,6121
2210,1971
3683,1452
43,8881
9832,4588
22667,9951
10388,417
2793,3786
18731,3456
18422,2536
10107,1726
22501,17654
4672,450
19205,16702
5193,1824
6677,3887
3581,2706
8217,3728
7742,7132
17578,8117
8986,1936
18149,10273
2867,1493
5592,5577
8794,8248
27,2938
1248,2236
9633,19221
28818,17994
26289,10236
7491,4768
8279,6859
3807,1110
8383,909
7229,3033
5869,884
29130,13014
7756,17440
1389,782
3371,415
5650,1231
20604,18678
6525,11189
22793,12228
1130,15290
29546,4471
12493,8383
20431,1967
11332,8669
7009,2136
8541,25490
8057,7455
14536,6220
2134,460
13060,8719
17363,10532
19772,16937
18503,18372
2715,17415
11538,5021
28660,18461
15486,8902
20930,2438
4510,3311
15815,9658
29564,17884
24999,728
1550,6157
11612,1736
1371,39
3147,2391
10588,7200
3945,1394
2324,1266
5694,3044
2257,1201
24964,256
16023,4510
19438,8767
18056,9442
33,172
25898,6545
741,1688
22923,11319
23065,13109
3235,4954
26105,12265
19564,20451
10997,25037
19749,15017
18130,3021
5803,81
21870,16753
18069,10453
23895,12542
12993,10701
29513,5256
1950,1808
8112,655
2970,10666
494,7714
10591,1451
829,467
665,1138
3622,732
5807,6590
7378,56
5712,164
18888,19978
24800,1587
2375,1017
26457,23404
2467,498
8220,5409
3765,976
4543,866
14654,7550
12026,14378
7934,7257
16232,8752
12818,9918
5933,853
501,51
15893,11603
4365,1487
429,839
18087,3493
28891,3019
17113,7043
23283,2868
477,19749
24276,17047
27683,21536
9988,677
3287,4683
7195,4306
13161,14408
4949,8451
1638,1187
11048,3058
27802,11409
10409,6712
13503,597
16868,20372
18217,1945
2761,21831
22042,19349
29685,15316
907,1858
4762,3766
12443,5164
4827,4784
28594,18227
5485,958
2974,9459
28767,860
17296,7045
6911,1778
15146,5073
4145,4061
1455,1342
16432,16035
22072,12122
25370,16290
14445,7622
2750,5564
19074,15119
20964,16415
17856,17346
5733,414
7757,3244
22062,3891
5985,5357
21205,1986
6804,4094
17890,9076
25752,10500
25704,24937
19681,5381
3681,2621
5020,806
2699,1252
29559,5308
6490,2466
12518,9460
14226,8541
19858,10666
16882,4183
27367,5475
5119,4669
7525,5770
4198,1970
24305,5351
14509,14105
13530,4425
5635,12501
2700,188
7206,4837
7409,4591
23111,21806
28081,16019
12797,2930
15783,13615
17119,8965
19805,8032
8710,12685
4085,144
14,3
6959,7855
8187,6592
7438,6108
7772,5458
7740,3684
5459,1348
2749,1451
24019,5656
13726,12979
25481,914
6938,589
5706,14333
4423,3959
10923,7302
11334,5680
977,19315
27247,7757
450,4124
11257,420
15062,4955
16792,15440
4884,1054
21738,6898
3665,10901
13168,12027
5611,15002
27188,26963
2310,8598
21315,4007
11297,10251
192,130
6004,15502
653,11
268,111
12379,2586
16611,11170
26949,18538
22749,11411
330,304
5801,104
20334,8327
21654,15375
3080,2612
5784,23587
24808,20061
24415,7778
12404,16936
16272,14201
26924,16387
25355,17159
5531,3924
8414,5475
10348,10311
3429,114
3270,11765
186,194
3861,14723
17141,11432
24064,14923
2731,4814
20015,11172
444,7646
2030,1267
5018,1955
28645,1938
1764,791
18452,5331
23501,3329
55,330
537,255
22944,8303
10686,10196
8579,7998
484,144
14137,4935
27460,5658
17021,3372
28718,9653
3376,1422
22591,5194
26024,12719
26436,5256
347,313
18458,3465
23136,428
20116,26603
4315,7655
10836,5767
1869,2151
10815,13869
19970,6893
13635,27046
5795,1757
17613,1054
4427,1778
21075,7819
12142,11254
7285,505
29001,7643
14388,13462
11910,2847
13885,10721
27518,20860
4786,3462
24601,1646
3188,2312
17877,9169
4982,894
13471,2151
5779,2630
29805,5935
992,4978
10695,2962
5217,2972
12906,634
5161,1752
5688,3424
2776,693
4333,8256
10660,2378
17147,919
9230,2986
7708,5278
19481,18385
4181,1499
13385,11299
8647,19186
23350,18789
25830,1182
2764,11652
26430,15184
830,812
1997,2904
3341,12579
20417,333
3155,209
19598,8827
1291,1239
922,9637
17014,1351
9164,5195
982,3206
16275,2701
16860,1157
14212,10791
10766,9834
28812,9339
10534,4235
23227,5040
26269,25985
16767,1782
16370,1116
4392,4359
16843,9077
18825,1215
2842,2736
20793,13410
11687,1070
13631,15826
13543,5371
27433,5416
19341,16282
5816,4730
9504,9553
10816,5542
18412,9906
24668,16193
7864,6015
11238,5480
25043,12019
34,274
208,5033
4272,1630
6484,8511
21608,20937
9377,7525
15398,6971
17279,8213
2292,1403
27742,22849
15024,2916
27632,10391
111,6
6408,4925
10054,9815
18565,14273
9091,5402
12601,3862
21655,12132
20131,291
9727,4722
23470,2994
15232,21901
15549,5932
3459,1769
8843,14200
8123,3231
1039,570
3121,4559
1740,917
17045,12857
17593,11786
10239,220
12116,20379
22517,26585
15145,3663
1622,12122
24090,10697
17401,384
545,435
1858,4227
26373,18336
8671,10506
10248,2499
270,71
1345,2225
15220,12587
12759,3944
229,15604
28568,17687
9043,557
28746,17313
29776,2360
1542,80
22569,3948
10999,25619
3404,1095
18912,13843
27749,2157
1244,904
14756,5616
10240,10150
10415,19233
8593,451
8927,8215
17771,13486
5425,4603
19733,16691
517,369
13403,2508
14732,5848
15106,14570
23269,3482
5804,2999
21934,4182
15930,4687
11154,706
3089,2912
24948,20980
6579,3790
15283,9422
3800,3001
16829,13408
20355,7871
9056,2608
27841,27186
8589,9897
17044,1019
15140,9440
2179,1048
4077,748
16191,646
16701,7111
22151,7360
2951,2138
20027,18074
5690,4160
23813,22072
28621,19227
23049,21598
14791,1994
19937,5546
19204,20258
1059,474
7114,6742
5664,4495
15357,10814
1298,957
18711,18479
4821,8848
8685,10293
9409,1812
7471,347
2746,6461
2804,863
15825,10334
18943,9652
11637,8039
2016,7112
21576,9978
5780,5529
9060,15430
1633,109
9507,2689
5357,6394
5810,6577
5039,4270
627,425
18896,19888
7369,14049
6149,12874
560,350
23178,19503
5101,13009
29099,22848
14323,10765
3945,2981
23571,20468
9293,8035
22979,19041
19315,4430
14725,10579
393,299
1879,5536
18341,10880
24297,20530
15874,15000
5415,3318
2912,2234
6536,8385
15465,10421
6646,15898
420,987
5609,2717
26579,18457
11357,17240
29575,27978
3573,1580
6856,6544
11467,10585
24110,20107
4976,5286
22893,2828
9170,9196
5554,7140
216,15
21116,14933
20291,10726
8655,654
21270,18337
22983,5716
552,7992
26944,10965
13963,4478
2644,16664
7995,2191
1112,784
1125,10418
12291,13633
928,1287
3792,1110
11120,512
11181,13426
14116,803
20891,8546
406,222
1243,1111
6038,23033
27750,21284
2946,1139
19967,2632
14812,13419
3398,3937
11749,8199
20870,16673
22136,5573
576,76
15096,8354
1867,142
11864,14572
4001,436
4735,3553
9062,5797
18354,11754
3174,12712
15154,11385
11246,10654
19109,9227
11940,20847
25226,5606
6009,2342
13266,8987
7095,2729
5291,6103
21300,3594
2712,3126
16139,22700
19838,13709
21022,17217
16188,9535
13340,7998
2476,1211
4240,16360
279,776
7606,6862
1356,1298
28651,26580
309,325
26616,18146
8313,13250
1853,13881
24617,17368
16567,10893
10091,5482
13797,1631
9719,3441
25326,23955
7143,24449
24595,3931
7683,2985
20756,3593
19675,14820
22268,8251
3824,6132
27200,14367
2608,1432
23187,9076
16476,18597
2653,11401
19977,11080
17305,5944
15431,7559
1509,2419
11085,15291
1482,6062
21849,12463
24131,15997
16976,8806
5098,3301
15336,15160
1223,12334
16668,4260
23257,1520
1847,1468
4626,7515
4816,3938
10497,8978
19765,12361
6574,986
698,1611
26299,7121
13118,5374
9812,2277
3007,1027
5563,16444
23490,11514
1996,789
8057,4766
10345,4577
15190,7832
6422,7706
13006,6695
4718,760
15934,10600
16780,21478
27526,5525
27581,4310
59,2501
14477,10153
1624,16565
26835,1044
19013,15529
13924,7239
16085,5339
21340,19440
20939,1759
8992,5240
2269,4428
16289,9683
6122,19758
7616,2942
119,4070
8725,8007
23362,5021
4793,7761
2977,1680
1374,2473
17247,566
1004,15108
3452,609
9567,10978
11536,2031
4484,2708
11100,4006
6291,5374
6844,4562
17605,4388
19139,2722
3454,1614
14943,9892
11074,9832
26,22
3147,7913
20165,12818
10596,6864
18752,5009
8911,4107
17808,13690
2664,1626
5460,2679
16290,15080
3514,4502
2166,431
3890,2353
3227,2756
9967,743
24180,21574
6328,5035
4918,3786
7714,4654
4216,341
25564,24652
1346,1114
29469,17872
763,8087
25082,640
23971,17301
8141,294
20962,12108
17787,13884
22119,5844
367,87
6808,1447
4057,2975
12188,3049
4941,37
30,29
1195,24311
4620,1790
11622,653
645,1308
28800,24515
21324,1033
2697,7181
7680,2202
377,5860
5136,612
13614,23876
9149,1268
207,1024
9469,8310
2942,3359
2572,4382
4781,1074
9706,2747
11187,3213
10761,88
17236,5553
18468,13738
1331,1075
8654,2277
22220,7341
11394,3592
11873,19949
23213,22330
9247,2385
10167,1792
2261,720
26910,2521
1462,1738
1994,2588
3806,1889
10114,5468
12220,6315
43,6591
1709,5124
10110,9513
500,9940
16481,16176
28127,1265
15694,2700
24900,7450
2219,545
276,680
1915,1695
29450,29206
11970,11121
13,779
19332,17190
9164,11450
370,16696
21771,11363
16758,16462
17940,8925
2116,2554
11911,8894
531,291
22763,6491
6109,19107
1405,1147
4261,735
1089,6522
5306,3645
2169,1113
19913,14665
22147,12203
17727,1915
5146,510
1388,1022
11361,11370
20535,20044
11090,7093
4309,3160
21198,12989
2899,639
12422,2628
2318,9118
11319,1692
14632,2720
16422,9973
382,182
15593,6103
23238,8803
28254,12246
225,105
3606,331
13274,12306
10100,8461
631,27955
3106,2845
11716,2215
6374,5693
9848,2407
8839,1498
6583,6218
29818,4506
27496,14485
28,803
5021,13280
28156,16986
12923,2370
16080,12711
2830,1692
10371,5839
24620,10970
26060,1338
8975,6111
6963,3342
14397,12205
12897,4060
23824,17818
5428,2871
1221,255
18165,11738
20110,12997
195,173
10464,7347
5689,998
24,3
13230,19855
467,1133
3429,5505
17504,26312
162,145
2342,18409
5422,4112
742,9951
676,1198
8437,7505
964,10516
28709,221
13833,6247
16806,15598
9561,10493
13688,10184
4412,7467
14578,6936
1680,669
2539,865
28063,12472
23042,952
20164,10047
1833,4377
19462,13861
19671,17682
5750,13613
5837,5475
25331,15248
1746,293
132,109
13309,9420
2274,4716
22222,13762
19454,7087
4586,8260
9960,13463
3425,20429
14166,8303
13087,1051
10327,4590
5127,1195
13556,2416
3713,2435
18857,2389
2594,277
10277,9358
8466,6470
7853,10461
14432,14025
26666,17911
9567,18654
25064,12560
18559,17767
7729,20905
28014,11429
19940,8197
3192,6971
4060,18358
16,25
8061,2926
6869,7116
6015,149
23080,11013
13845,3987
23617,2047
24342,3106
16526,11109
15103,14864
6826,3596
13837,22629
3560,2653
4289,2761
2246,716
2338,539
7464,6586
6017,7124
28471,12370
384,315
5802,3198
11456,4980
20978,4162
256,18740
4588,3538
2771,1356
22854,9051
25219,18896
7,8
7403,2892
1979,2198
2579,85
21065,7756
11752,6253
6708,8054
12081,137
16089,4498
20067,14740
22866,21956
5864,5297
20,100
25813,8627
20767,25436
25277,6727
5721,1189
12416,13874
2071,4780
17679,2128
10911,3553
14720,3708
19228,19128
6073,2641
12279,21439
17882,16701
17912,8279
13110,156
15025,740
8185,5367
27315,21781
26481,13798
12212,4024
19930,17440
22201,10360
17016,7269
10884,10352
7757,2651
9350,13123
6590,1649
6075,3454
13402,913
13875,10613
4628,717
15027,11039
26715,19674
965,3551
9584,3248
4161,13635
297,12532
24679,15238
7945,3478
4355,5003
95,90
22777,11392
12945,10843
27507,23531
3711,161
18296,11592
20668,4868
7951,11074
1033,6857
18568,2580
843,3009
20268,12644
8094,7728
8495,5319
24495,297
2818,1713
2028,359
2085,3783
981,488
6230,16068
3516,719
16746,7566
11165,11522
8301,2494
6782,3044
18595,5498
614,570
10947,1380
22401,10752
28598,23171
5070,6661
3557,9803
20986,10586
8169,14133
17762,1205
8769,8868
1098,1810
12508,11361
23603,3884
12484,4291
6292,13363
6671,51
8153,5608
3951,2287
27759,22865
3344,8497
17444,6941
1480,642
2286,2565
17357,16152
8289,2481
6091,9014
12535,3380
162,5325
19811,4969
723,492
24209,1561
3962,19729
1120,2052
18290,5350
10612,5361
15872,10722
3489,3733
10919,5269
7953,4614
3653,19472
2518,2011
21864,969
16682,3093
12341,6416
14796,7467
5853,13604
798,152
14977,9782
20224,2933
21114,411
22548,19139
22549,8445
2535,1913
394,341
1498,2827
14871,21344
18644,10671
12201,6265
7742,2861
5979,3357
14050,305
24288,3414
7967,16010
7388,5969
6401,11214
1783,1143
27816,7359
22611,21730
12586,10932
5800,7654
15582,6201
21036,14665
1213,1030
4863,9323
23972,19370
25664,18432
4067,2797
2854,3452
26014,10665
14272,11922
29645,6790
3123,89
13222,4834
3323,2181
17822,8627
2978,1592
3887,3571
21308,2855
23517,15226
27550,13880
8857,5271
375,2244
14347,8240
18,45
10369,15257
3980,2747
27604,1123
2843,11119
2679,2774
1208,2224
17096,13611
6559,4911
7499,7456
587,449
24448,6239
16516,11477
16008,2853
6287,9999
19436,373
19498,264
13882,7541
1084,7146
10344,2582
577,68
1877,1699
12849,4354
6982,4852
1481,4030
3220,2918
15508,21801
9936,10228
2511,5523
15989,9005
23,19
28223,13707
15768,2287
26744,12036
3047,1214
17113,16803
24776,23802
3371,7856
2561,5653
5681,4659
559,419
670,1364
1098,2639
19899,1287
16231,12766
21050,19487
4358,1645
24381,152
28361,850
23503,22611
14576,17395
18158,20901
9058,11602
28851,2493
2386,1016
14868,9569
5214,4842
4466,339
2774,14151
24970,334
11337,4927
8250,9232
14777,5955
9966,6967
10214,901
4377,3882
1274,7861
2330,2230
2071,1736
21944,10373
12862,6551
1145,167
22293,17983
45,285
17569,2186
25110,7484
23976,1295
77,140
8519,7117
5265,7838
16852,97
3230,1803
11081,9541
27132,9100
157,133
689,2127
7629,5548
9795,1241
22514,3545
5874,1413
5976,3257
6901,2921
1226,981
10698,9752
15380,14599
3129,9946
366,500
29694,10532
12707,7921
7210,11734
16077,20523
8536,3657
11846,5907
23267,12864
2737,961
9538,1396
14089,701
17450,11925
13047,2159
6030,692
17814,16028
2559,16149
633,2793
28,43
3511,298
8874,4487
1780,737
22783,2097
4249,15354
21071,5575
16024,13451
878,732
6023,4206
7915,5735
3485,1340
17927,7406
9661,8967
20908,2080
18108,13661
25605,8303
5081,3796
4672,219
363,107
22259,11046
19321,11199
3,42
8416,7057
5806,1627
11805,9538
178,60
9726,9349
1556,11942
2847,27349
10486,3583
4447,7493
1416,1525
16692,148
3029,3016
22669,400
24110,20237
946,22547
27134,19123
13016,7606
10581,10503
18278,1541
7698,5418
20856,21745
1655,5302
4394,2861
18589,13717
24011,8099
9663,5260
11035,3902
8704,4324
2243,657
26086,6735
4085,1401
2845,10269
9712,14783
3997,1587
27568,24862
15636,3775
21862,3605
4345,14092
18264,9599
20230,777
17023,14670
682,678
13785,11340
10885,11027
8818,3655
27882,1263
2157,18748
18558,1642
5989,1850
7680,4004
5432,4929
3511,2701
2179,228
9194,1686
14008,1791
28062,26727
17346,16841
9217,9143
23476,4533
4171,4009
3278,1287
8984,3779
6564,1548
4823,2209
20790,17483
9546,329
7391,1414
25796,3292
4790,6416
378,482
3573,9726
2837,1609
16547,14645
17648,9888
4457,2974
11611,5669
8729,162
7711,6531
13492,9576
14138,3975
21785,6902
13244,2566
8325,8136
7512,1000
11992,1947
15155,2193
14410,7087
7062,804
6895,22844
8604,11636
7878,98
9470,2494
14000,13390
1131,6246
13789,17297
4646,434
12001,8995
10066,5484
16884,889
3612,330
3633,1661
13294,4807
15869,8181
23624,3110
108,3
11308,1219
17132,9603
1239,13156
28257,5784
2793,193
12280,4636
20654,10398
1003,2242
16190,7799
22883,17099
21876,2144
25681,9846
17641,165
7115,9426
20550,7930
23414,15356
18207,7265
19337,2964
9964,16838
14779,3594
8985,5083
779,3534
1123,231
2402,613
11809,701
1536,1442
28010,10114
7272,3446
22266,21091
1113,686
14469,832
26482,3762
1168,2649
22693,4508
7759,7120
19490,19089
10898,6243
19107,7692
1002,102
1871,266
22344,16308
14305,7229
19137,4811
932,732
7065,5713
18998,4877
13500,233
8539,8138
14013,13932
8346,3691
17166,7732
28466,11221
5622,4458
4491,8665
5824,7389
2961,2473
22708,17474
5265,3262
9367,2935
647,473
16982,15123
16013,9767
17603,6141
6637,4414
17878,2438
10225,18093
21600,4061
3486,1324
21755,12887
6543,1069
6845,8370
1444,1956
25341,15563
3137,6994
14645,16895
5179,3895
28790,788
10269,2045
4219,347
4401,9959
16373,15356
24550,17887
20388,13435
17728,16199
14197,4004
7912,3741
13627,5662
26301,13881
11765,10771
19567,10518
28338,17807
20317,8842
24563,2235
6241,8306
9727,3126
1299,131
273,45
9509,16220
23432,14660
2588,2514
19008,11606
24115,10534
4210,879
7956,738
21608,16833
18738,5454
8994,4887
26402,9101
11080,2918
937,7448
6242,18606
2484,1454
2394,1580
15352,1866
25732,23325
9102,4913
19627,4401
2556,1872
13330,5474
21658,1530
2018,19208
1392,2
7475,1061
13799,7705
21737,21093
8263,6569
8724,7117
13605,10506
7661,1667
13430,7323
17500,1750
19322,14569
9251,1288
7057,10039
27020,13034
2641,1872
783,4399
21984,15810
1702,1646
19730,17709
10624,1012
13896,833
5942,5927
17394,4947
7704,14412
24619,18375
15868,28
11879,231
8750,3629
16287,11151
21783,20500
6714,3208
8496,2004
7748,6484
14170,18291
5622,3274
3036,1112
15165,5426
25583,25463
20679,16774
19359,837
300,281
20596,17440
6221,3505
3593,2480
5915,4523
1010,434
2494,1203
26505,18835
29042,2932
8931,5090
9609,4960
20160,17653
11328,7091
2008,1072
80,66
20452,5691
3989,1407
2394,3998
3658,4340
10981,7296
2588,8142
4,2079
6388,20782
16566,10526
15194,3919
16906,12752
6674,9287
19088,5953
4521,5840
22926,8705
9587,3884
519,24670
22760,9915
13828,5726
13802,8319
16277,1460
18157,14487
16041,12175
786,39
161,594
28,13070
5655,986
12929,6484
7486,5990
24269,22891
3941,9993
15667,17833
6862,1764
23959,15767
29162,24313
6648,3332
831,23569
27313,27575
15624,3249
21520,2189
335,492
16912,10161
21646,13035
3898,1518
28603,17975
6899,5286
21801,2804
97,175
12077,2450
2965,3498
6825,6820
302,78
17056,3337
21795,7655
362,349
10265,24149
23682,6232
16613,11809
13983,6602
29581,3179
4832,8879
22409,3555
11156,1889
7056,892
13582,8603
10008,6158
15609,4359
24105,16375
18826,15188
404,8068
1774,9655
10185,18700
8231,13513
9920,8896
5916,4529
16916,9750
20757,7637
24041,20724
28898,21352
7364,1393
22321,3041
14525,10679
3322,1444
11609,24968
16073,5574
1390,1125
7012,2291
28173,17038
10112,4142
7551,3226
4154,3844
24179,23373
22981,5398
14404,1409
5906,1876
17292,12611
20289,8158
5707,4071
12767,12486
1777,1030
7309,3811
488,214
9747,2151
17650,16901
21910,11930
6014,424
489,21757
4135,2705
14838,11366
102,689
20710,7802
1686,159
22599,21751
25532,4249
12866,983
19183,17788
15124,3623
23054,7471
6801,5231
693,6432
14835,13149
5482,1418
16215,15382
13892,7332
5934,1126
18457,15835
4971,5012
3695,5736
8707,2382
987,12957
386,1159
3961,466
808,576
4074,1619
16404,3498
632,856
13208,3543
19933,11620
24154,4013
562,3563
2328,937
17442,6950
6086,3303
11010,5372
23012,12819
22103,541
7144,1802
1357,2493
536,2977
3370,2624
13605,9686
12653,10207
15849,22130
18444,3189
12854,11927
5210,24603
6960,4548
18015,5829
14076,5244
831,15823
22967,3936
12822,8994
1950,4783
17321,15918
1022,789
164,79
2718,2466
19082,3577
4064,496
24795,6504
3277,2601
2831,5009
17249,6070
18680,7101
15756,2939
69,3755
19513,16702
19919,2548
15032,7077
15317,15102
7893,2345
18611,1421
5109,3974
17701,610
11412,5401
26692,23557
29523,19952
12897,17808
1755,1068
13031,5543
12620,3443
10342,5763
22219,1851
2692,14435
367,4
26663,2667
15056,17299
11779,8209
20486,12506
29467,12131
6820,4925
15692,15329
28097,27163
23151,17184
18623,8399
9575,7347
14564,4023
5701,885
622,501
6,4
6511,9496
17437,7656
643,6797
26766,8677
3384,4560
10551,15976
483,326
3888,3855
6481,3661
416,157
2347,3367
7245,2563
24163,21632
6014,5225
18949,17581
16058,8703
159,844
7091,1657
1671,1919
936,3079
1762,3662
318,231
20053,3698
7966,3468
7253,4309
5173,224
18362,4701
12140,1388
10816,3501
7155,475
1561,11225
3735,3701
1755,11268
6868,6344
5447,406
22,618
3428,2561
4985,3324
5380,93
7079,4059
23000,442
7307,14998
13620,3616
17741,3238
2773,1385
25619,21189
2690,847
7474,639
10148,20149
4286,1421
8269,3456
5554,1559
12399,4113
10687,11082
3790,8010
22529,725
425,16282
24082,12714
28823,20191
18409,8066
29078,6275
25741,3557
9129,6172
875,15671
9139,7330
3349,1862
4587,2099
6318,1277
12886,9236
1599,326
8671,462
9677,5136
20598,1739
19594,10304
26346,15496
27943,2202
1290,2602
6116,6066
300,242
1575,1235
17513,2809
27030,20158
5296,2085
11466,4275
9482,6202
2601,2152
28370,26087
17027,265
4450,14828
10789,4480
24558,529
5245,61
13501,13053
60,906
9041,9213
13624,8816
17134,15572
1979,13500
13942,1472
24811,19594
2500,668
21394,18019
28439,27429
22875,5614
22424,4241
15482,3168
15087,10526
5068,13388
29798,7647
16913,13813
11991,11317
20605,17079
27865,14657
2066,3241
17418,4378
14349,6024
18291,8663
25730,10252
759,479
3779,3360
27334,2847
19618,5377
7365,1715
9405,1303
6540,580
15013,2294
16699,9128
5130,1373
11202,6437
2162,5940
22011,7991
17799,10638
7192,626
6193,6172
20077,11534
4661,1537
14831,960
9487,12267
12528,3611
25970,1053
9786,5905
719,11186
75,152
7113,3704
8,175
23472,21671
47,22
1993,1408
4732,1053
5283,1943
29521,12833
20285,5178
22372,5822
844,515
3891,574
14603,11024
8134,6034
687,215
22002,9100
943,185
28666,21825
29116,5552
23273,7113
20859,18982
26598,19454
7623,1444
23095,11087
18116,1699
1714,7135
13922,4420
11861,15726
1736,2563
25500,21969
29799,10552
68,315
5885,1675
1294,2075
6712,6510
2472,616
59,2884
6427,5448
25749,5457
20089,13443
24945,22830
9330,3031
35,3
13923,11414
971,1407
27544,18939
6068,2676
29293,19929
17324,17158
1704,115
15484,271
2091,7380
12297,4288
28912,9872
8122,6068
12039,8620
4767,497
9515,20055
3504,12404
9465,5571
24614,23194
17337,7401
14159,11697
8200,7980
7064,1083
12853,10596
24343,22246
13271,7367
25829,7965
9870,23144
9607,4756
20741,9374
25333,21620
588,468
14725,6346
19560,13162
11446,6547
8148,3401
8755,15358
14701,7937
15075,495
2710,2210
8297,1794
19611,7602
16888,16175
8817,4312
3040,3659
16824,6083
8719,3698
13447,10955
14106,3910
28741,19042
12336,11441
24449,12566
65,76
22421,21116
23748,6011
1716,11997
3077,3196
8998,5969
9345,193
2625,1109
11469,6113
3564,2964
17721,22271
27095,5803
15054,15000
22314,6476
5430,4558
14456,4609
5855,3
19568,6574
2065,16077
6226,5675
9898,10876
17895,15350
24079,9937
7854,5393
5642,2846
22503,17294
18598,26273
330,2969
19619,6985
479,4697
3667,10208
10837,5990
6376,6298
3016,8068
12343,6483
17465,2155
5616,8069
10076,747
1955,1238
583,475
16,99
26053,4049
2307,1012
4415,442
1339,1389
10619,8261
18350,6935
18473,7462
1628,4997
24730,6446
9775,3448
6862,1232
23920,2154
9612,8269
25795,4808
24561,9686
1142,872
21554,12488
5437,731
26451,6889
16513,16471
22115,10122
13577,5929
16257,10405
10393,4022
10899,7307
107,4166
19141,15588
1560,1265
6128,1128
10676,14484
8550,13219
13189,5657
15477,4529
17817,6504
8548,18655
1188,2145
91,131
23009,5793
24441,23620
14489,8389
24944,12483
8429,7023
26172,16476
28697,11077
1216,1073
1640,1577
15494,10745
6100,4329
10239,7352
11069,3042
8837,4221
18087,418
6000,7852
8552,1582
2607,2637
22284,20480
8246,5925
10900,9244
29136,16826
5073,4110
17499,6172
6569,3227
11060,19619
23925,9309
6255,929
3857,1826
13061,2932
86,326
29654,13707
21804,10314
1507,2042
15685,6812
3324,1234
4768,2262
5371,3892
6642,505
729,114
840,961
9825,9008
8763,7128
13380,8388
5428,14740
20480,19155
11113,1643
3086,1018
17136,12570
4624,5844
29633,21194
7882,4032
3590,2926
10960,7430
19757,1420
21172,11162
15211,10724
3545,1265
15167,5483
16437,3355
21793,18892
5022,4168
16684,2072
6123,311
16688,4367
24376,23831
22784,1577
14026,10592
9766,9615
17214,16280
9220,2112
